SampleDate,CollectionMethodCode,agencycode,FieldReplicate,SampleID,benthiccollectioncomments,grabsize,percentsamplecounted,totalgrids,gridsanalyzed,gridsvolumeanalyzed,targetorganismcount,actualorganismcount,extraorganismcount,qcorganismcount,discardedorganismcount,benthiclabeffortcomments,FinalID,LifeStageCode,Distinct,BAResult,resqualcode,qacode,taxonomicqualifier,personnelcode_labeffort,personnelcode_results,labsampleid,record_origin,record_publish,objectid,StationCode,DatabaseCode
2016-06-14,BMI_RWB,ABCL,1,SMC01096_06142016_BMI_RWB_1,,11.000,5.00,80,4,4.000,600,571,52,0,0,,Ablabesmyia,L,1,4,=,None,None,B. Betz,Kurt King,LAR0616.106,SMC,true,1531753130,SMC01096,SMC
2016-06-14,BMI_RWB,ABCL,1,SMC01096_06142016_BMI_RWB_1,,11.000,5.00,80,4,4.000,600,571,52,0,0,,Alotanypus,L,1,2,=,None,None,B. Betz,Kurt King,LAR0616.106,SMC,true,1531753131,SMC01096,SMC
2016-06-14,BMI_RWB,ABCL,1,SMC01096_06142016_BMI_RWB_1,,11.000,5.00,80,4,4.000,600,571,52,0,0,,Argia,L,1,48,=,None,None,B. Betz,Wendy Willis,LAR0616.106,SMC,true,1531753132,SMC01096,SMC
2016-06-14,BMI_RWB,ABCL,1,SMC01096_06142016_BMI_RWB_1,,11.000,5.00,80,4,4.000,600,571,52,0,0,,Arrenurus,X,1,1,=,None,None,B. Betz,Wendy Willis,LAR0616.106,SMC,true,1531753133,SMC01096,SMC
2016-06-14,BMI_RWB,ABCL,1,SMC01096_06142016_BMI_RWB_1,,11.000,5.00,80,4,4.000,600,571,52,0,0,,Callibaetis,L,1,1,=,None,None,B. Betz,Wendy Willis,LAR0616.106,SMC,true,1531753134,SMC01096,SMC
2016-06-14,BMI_RWB,ABCL,1,SMC01096_06142016_BMI_RWB_1,,11.000,5.00,80,4,4.000,600,571,52,0,0,,Corynoneura,L,1,4,=,None,None,B. Betz,Kurt King,LAR0616.106,SMC,true,1531753135,SMC01096,SMC
2016-06-14,BMI_RWB,ABCL,1,SMC01096_06142016_BMI_RWB_1,,11.000,5.00,80,4,4.000,600,571,52,0,0,,Cricotopus,L,1,9,=,None,None,B. Betz,Kurt King,LAR0616.106,SMC,true,1531753136,SMC01096,SMC
2016-06-14,BMI_RWB,ABCL,1,SMC01096_06142016_BMI_RWB_1,,11.000,5.00,80,4,4.000,600,571,52,0,0,,Dasyhelea,L,1,3,=,None,None,B. Betz,Wendy Willis,LAR0616.106,SMC,true,1531753137,SMC01096,SMC
2016-06-14,BMI_RWB,ABCL,1,SMC01096_06142016_BMI_RWB_1,,11.000,5.00,80,4,4.000,600,571,52,0,0,,Dixa,L,1,1,=,None,None,B. Betz,Wendy Willis,LAR0616.106,SMC,true,1531753138,SMC01096,SMC
2016-06-14,BMI_RWB,ABCL,1,SMC01096_06142016_BMI_RWB_1,,11.000,5.00,80,4,4.000,600,571,52,0,0,,Empididae,P,1,1,=,None,None,B. Betz,Wendy Willis,LAR0616.106,SMC,true,1531753139,SMC01096,SMC
2016-06-14,BMI_RWB,ABCL,1,SMC01096_06142016_BMI_RWB_1,,11.000,5.00,80,4,4.000,600,571,52,0,0,,Eukiefferiella,L,1,6,=,None,None,B. Betz,Kurt King,LAR0616.106,SMC,true,1531753140,SMC01096,SMC
2016-06-14,BMI_RWB,ABCL,1,SMC01096_06142016_BMI_RWB_1,,11.000,5.00,80,4,4.000,600,571,52,0,0,,Fallceon,L,1,53,=,None,None,B. Betz,Wendy Willis,LAR0616.106,SMC,true,1531753141,SMC01096,SMC
2016-06-14,BMI_RWB,ABCL,1,SMC01096_06142016_BMI_RWB_1,,11.000,5.00,80,4,4.000,600,571,52,0,0,,Hetaerina americana,L,1,2,=,None,None,B. Betz,Wendy Willis,LAR0616.106,SMC,true,1531753142,SMC01096,SMC
2016-06-14,BMI_RWB,ABCL,1,SMC01096_06142016_BMI_RWB_1,,11.000,5.00,80,4,4.000,600,571,52,0,0,,Hyalella,X,1,2,=,None,None,B. Betz,Wendy Willis,LAR0616.106,SMC,true,1531753143,SMC01096,SMC
