SampleDate,CollectionMethodCode,FieldReplicate,SampleID,FinalID,LifeStageCode,Distinct,BAResult,origin_lastupdatedate,record_publish,record_origin,StationCode,DatabaseCode
2012-06-13,BMI_RWB_MCM,1,801RB8356_06132012_BMI_RWB_MCM_1,Simulium,L,0,2,2014-10-14,true,SWAMP,SMCR8_356,SWAMP
2012-06-13,BMI_RWB_MCM,1,801RB8356_06132012_BMI_RWB_MCM_1,Tanytarsus,L,0,2,2014-10-14,true,SWAMP,SMCR8_356,SWAMP
2012-06-13,BMI_RWB_MCM,1,801RB8356_06132012_BMI_RWB_MCM_1,Sperchon,X,0,1,2014-10-14,true,SWAMP,SMCR8_356,SWAMP
2012-06-13,BMI_RWB_MCM,1,801RB8356_06132012_BMI_RWB_MCM_1,Baetis,L,0,1,2014-10-14,true,SWAMP,SMCR8_356,SWAMP
2012-06-13,BMI_RWB_MCM,1,801RB8356_06132012_BMI_RWB_MCM_1,Erioptera,L,0,6,2014-10-14,true,SWAMP,SMCR8_356,SWAMP
2012-06-13,BMI_RWB_MCM,1,801RB8356_06132012_BMI_RWB_MCM_1,Progomphus,L,0,1,2014-10-14,true,SWAMP,SMCR8_356,SWAMP
2012-06-13,BMI_RWB_MCM,1,801RB8356_06132012_BMI_RWB_MCM_1,Ephydridae,P,0,1,2014-10-14,true,SWAMP,SMCR8_356,SWAMP
2012-06-13,BMI_RWB_MCM,1,801RB8356_06132012_BMI_RWB_MCM_1,Dolichopodidae,L,0,1,2014-10-14,true,SWAMP,SMCR8_356,SWAMP
2012-06-13,BMI_RWB_MCM,1,801RB8356_06132012_BMI_RWB_MCM_1,Saetheria,L,0,56,2014-10-14,true,SWAMP,SMCR8_356,SWAMP
2012-06-13,BMI_RWB_MCM,1,801RB8356_06132012_BMI_RWB_MCM_1,Dicrotendipes,L,0,1,2014-10-14,true,SWAMP,SMCR8_356,SWAMP
2012-06-13,BMI_RWB_MCM,1,801RB8356_06132012_BMI_RWB_MCM_1,Hydroptila,L,0,2,2014-10-14,true,SWAMP,SMCR8_356,SWAMP
2012-06-13,BMI_RWB_MCM,1,801RB8356_06132012_BMI_RWB_MCM_1,Pentaneura,L,0,1,2014-10-14,true,SWAMP,SMCR8_356,SWAMP
